Tour,Commonality with CMSA,Min commonality with MSA,Avg commonality with MSA,Max commonality with MSA
"[0,8,48,51,11,50,10,9,49,46,54,55,47,44,52,53,45,59,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,7,15,14,6,1,5,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,38,26,27,31,41,39,42,2,3,43,40]",65.28,29.17,34.30,37.50
"[0,40,43,3,2,42,39,41,38,26,25,37,36,24,31,30,18,17,29,33,69,68,32,35,71,34,70,58,66,65,57,56,64,67,59,53,45,44,52,55,47,46,54,63,23,62,22,21,61,60,20,16,28,27,13,19,5,1,6,14,7,15,12,4,9,49,50,10,11,51,48,8]",63.89,34.72,38.48,44.44
"[0,6,14,15,7,10,50,51,11,48,8,9,49,46,54,55,47,44,52,45,53,59,67,64,56,57,65,66,58,60,20,21,61,22,62,63,23,12,4,1,5,27,31,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,41,39,42,2,3,43,40]",63.89,30.56,38.18,43.06
"[0,5,8,48,11,51,50,10,9,49,46,54,55,47,44,52,53,59,45,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,7,15,14,6,1,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,25,37,38,26,27,31,41,39,42,2,3,43,40]",63.89,31.94,37.79,41.67
"[0,6,14,15,7,10,50,51,11,48,8,9,49,46,54,55,47,44,52,45,53,59,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,1,5,39,31,27,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,41,42,2,3,43,40]",63.89,27.78,35.49,40.28
"[0,6,14,15,7,10,50,11,51,48,8,9,49,46,54,55,47,44,52,59,53,45,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,1,5,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,36,24,25,37,38,26,27,31,41,39,42,2,3,43,40]",63.89,29.17,34.78,38.89
"[0,8,48,51,11,10,50,49,9,54,46,47,55,52,44,45,59,53,67,64,56,57,65,66,58,60,20,21,61,62,22,23,63,12,4,7,15,14,6,1,5,39,41,31,27,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",63.89,26.39,32.89,38.89
"[0,3,43,42,2,1,5,48,8,11,51,50,10,9,49,54,46,47,55,52,44,45,53,59,67,64,56,57,65,66,58,60,20,21,61,62,22,23,63,4,12,15,7,6,14,13,19,27,31,30,18,17,29,28,16,34,70,69,33,32,68,71,35,24,36,37,25,26,38,41,39,40]",63.89,25.00,31.46,37.50
"[0,40,43,3,2,42,38,26,25,37,36,24,30,18,17,29,33,69,68,32,35,71,34,70,58,66,65,57,56,64,67,53,59,45,44,52,55,47,46,54,23,63,62,22,21,61,60,20,16,28,31,27,39,41,5,1,13,19,14,6,7,15,12,4,9,49,50,10,11,51,48,8]",62.50,31.94,35.61,40.28
"[0,40,43,3,2,42,39,41,38,26,25,37,36,24,30,18,17,29,33,69,68,32,35,71,70,34,66,58,65,57,56,64,67,53,59,45,44,52,55,47,46,54,63,23,22,62,61,21,20,60,16,28,31,27,19,13,1,5,6,14,7,15,12,4,9,49,50,10,11,51,48,8]",62.50,31.94,35.53,40.28
"[0,8,48,51,11,10,50,49,9,46,54,55,47,44,52,59,53,45,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,7,15,14,6,1,5,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,25,37,38,26,31,27,39,41,42,2,3,43,40]",62.50,30.56,35.51,38.89
"[0,6,14,15,7,50,10,11,51,48,8,9,49,46,54,47,55,52,44,45,59,53,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,1,5,13,19,31,27,30,18,17,29,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,41,39,42,2,3,43,40]",62.50,27.78,34.47,38.89
"[0,8,48,51,11,10,50,49,9,46,54,55,47,44,52,53,59,45,67,64,56,57,65,66,58,60,20,61,21,22,62,63,23,12,4,7,15,14,6,5,1,41,39,31,27,19,13,18,30,29,17,16,28,34,70,69,33,32,68,71,35,24,36,37,25,26,38,42,2,3,43,40]",62.50,27.78,33.91,37.50
"[0,3,43,42,2,6,14,15,7,50,10,11,51,48,8,9,49,46,54,55,47,52,44,45,59,53,67,64,56,57,65,66,58,60,20,21,61,62,22,63,23,12,4,1,5,13,19,18,30,29,17,16,28,34,70,69,33,32,68,71,35,36,24,25,37,38,26,31,27,41,39,40]",62.50,26.39,33.01,37.50
"[0,40,3,43,42,2,1,5,41,39,38,26,25,37,36,24,35,71,68,32,33,69,70,34,66,58,65,57,56,64,67,53,59,45,44,52,55,47,46,54,63,23,62,22,21,61,60,20,16,28,29,17,18,30,31,27,19,13,14,6,7,15,12,4,9,49,50,10,11,51,48,8]",62.50,27.78,31.37,37.50
"[0,40,43,3,2,42,1,5,39,41,38,26,25,37,36,24,30,18,17,29,33,69,68,32,35,71,34,70,58,66,65,57,56,64,67,53,59,45,44,52,55,47,46,54,63,23,22,62,21,61,60,20,16,28,31,27,19,13,14,6,7,15,12,4,9,49,50,10,11,51,48,8]",61.11,34.72,38.00,43.06
